wav_filename,wav_filesize,transcript
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-614880-616060.wav, 34638, вам и давайте вс
/Users/gosha/Projects/youtube-audio-captions-parsing/data/6CCiy1AsC5c/parts/6CCiy1AsC5c-73689-76840.wav, 81678, вот так это выглядит в готовом состоянии
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dFXJ7UrzRiQ/parts/dFXJ7UrzRiQ-339899-343600.wav, 98318, больницы а вы вот гуманитарную помощь направляйте
/Users/gosha/Projects/youtube-audio-captions-parsing/data/de0vrVFCVCg/parts/de0vrVFCVCg-169508-172034.wav, 48078, темпы разработки и развития linux просто поразительны
/Users/gosha/Projects/youtube-audio-captions-parsing/data/7wVDvFATuyE/parts/7wVDvFATuyE-146420-148940.wav, 80718, выходили гуси
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SOVrFAYsnWk/parts/SOVrFAYsnWk-688279-690140.wav, 59630, были предоставлены под приватизацию
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dFXJ7UrzRiQ/parts/dFXJ7UrzRiQ-619690-622950.wav, 102158, мы победили наполеона ч мы ушли из парижа
/Users/gosha/Projects/youtube-audio-captions-parsing/data/7wVDvFATuyE/parts/7wVDvFATuyE-79360-82220.wav, 85518, мыли гуси лапки
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-2264000-2269000.wav, 118158, еще меньше людей будут разбираться в коде чтобы улучшить его
/Users/gosha/Projects/youtube-audio-captions-parsing/data/MDMeXR0O0RU/parts/MDMeXR0O0RU-1006090-1010840.wav, 135758, скажем так я вообще не являлся никогда и не является
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-349120-352720.wav, 115278, показания мы же в серьзной организации находимся
/Users/gosha/Projects/youtube-audio-captions-parsing/data/MDMeXR0O0RU/parts/MDMeXR0O0RU-221920-225549.wav, 58318, прямой эфир конечно если мастер спорта
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-1616100-1620100.wav, 114958, хотя я даже не был тем кто начал движение за по с открытым исходным кодом
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dZHcmS01HwM/parts/dZHcmS01HwM-200430-203680.wav, 39118, эта тема заведет а она вас точно заведет вы пойдете
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-2061500-2066500.wav, 114318, которую нес да и продолжает нести термин свободное по
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SZg4hPABNOY/parts/SZg4hPABNOY-201440-204011.wav, 82350, во время падения многие дети с этого аттракциона
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SOVrFAYsnWk/parts/SOVrFAYsnWk-63469-65610.wav, 68590, экономику россии в клочья
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0_qE9m8PDxw/parts/0_qE9m8PDxw-104700-109100.wav, 116238, but there is not a single problem that can resolve itself on its own
/Users/gosha/Projects/youtube-audio-captions-parsing/data/_ZOr2t8rm8k/parts/_ZOr2t8rm8k-424699-426771.wav, 44558, не тем что из себя представляет это то
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ypEPe5Ii3Aw/parts/ypEPe5Ii3Aw-584840-589800.wav, 75598, ее виды а далее в течение ближайших х х недель
/Users/gosha/Projects/youtube-audio-captions-parsing/data/de0vrVFCVCg/parts/de0vrVFCVCg-91006-94978.wav, 101838, дело в том как быстро linux разрабатывается и распространяется
/Users/gosha/Projects/youtube-audio-captions-parsing/data/vhzNlErRU4I/parts/vhzNlErRU4I-111240-116220.wav, 159438, marvel dc ваша эпоха подошла к концу аркадий паровозов устанавливает грые правила
